     #eta_rho                    eta_z                     f1                      f12
  0.0000000000000000E+00  0.1904761900000000E-03  0.2305093785969188E-02  0.5646453577390070E-02
  0.0000000000000000E+00  0.2380952380000000E-03  0.2305093782133692E-02  0.5646453643832262E-02
  0.0000000000000000E+00  0.2857142860000000E-03  0.2305093777445868E-02  0.5646453725039368E-02
  0.0000000000000000E+00  0.3333333330000000E-03  0.2305093771905707E-02  0.5646453821011397E-02
  0.0000000000000000E+00  0.3809523810000000E-03  0.2305093765513212E-02  0.5646453931748335E-02
  0.0000000000000000E+00  0.4285714290000000E-03  0.2305093758268386E-02  0.5646454057250209E-02
  0.0000000000000000E+00  0.4761904760000000E-03  0.2305093750171238E-02  0.5646454197516985E-02
  0.0000000000000000E+00  0.5238095240000000E-03  0.2305093741221739E-02  0.5646454352548653E-02
  0.0000000000000000E+00  0.5714285710000000E-03  0.2305093731419920E-02  0.5646454522345228E-02
  0.0000000000000000E+00  0.6190476190000000E-03  0.2305093720765768E-02  0.5646454706906687E-02
  0.0000000000000000E+00  0.6666666670000000E-03  0.2305093709259284E-02  0.5646454906233031E-02
  0.0000000000000000E+00  0.7142857140000000E-03  0.2305093696900471E-02  0.5646455120324270E-02
  0.0000000000000000E+00  0.7619047620000000E-03  0.2305093683689319E-02  0.5646455349180359E-02
  0.0000000000000000E+00  0.8095238100000001E-03  0.2305093669625843E-02  0.5646455592801314E-02
  0.0000000000000000E+00  0.8571428570000000E-03  0.2305093654710023E-02  0.5646455851187104E-02
  0.0000000000000000E+00  0.9047619050000000E-03  0.2305093638941884E-02  0.5646456124337756E-02
  0.0000000000000000E+00  0.9523809519999999E-03  0.2305093622321411E-02  0.5646456412253222E-02
  0.0000000000000000E+00  0.1000000000000000E-02  0.2305093604848597E-02  0.5646456714933514E-02
  0.0000000000000000E+00  0.1047619048000000E-02  0.2305093586523456E-02  0.5646457032378583E-02
  0.0000000000000000E+00  0.1095238095000000E-02  0.2305093567345988E-02  0.5646457364588451E-02
  0.0000000000000000E+00  0.1142857143000000E-02  0.2305093547316178E-02  0.5646457711563128E-02
  0.0000000000000000E+00  0.1190476190000000E-02  0.2305093526434045E-02  0.5646458073302535E-02
  0.0000000000000000E+00  0.1238095238000000E-02  0.2305093504699578E-02  0.5646458449806715E-02
  0.0000000000000000E+00  0.1285714286000000E-02  0.2305093482112774E-02  0.5646458841075644E-02
  0.0000000000000000E+00  0.1333333333000000E-02  0.2305093458673640E-02  0.5646459247109277E-02
  0.0000000000000000E+00  0.1380952381000000E-02  0.2305093434382181E-02  0.5646459667907632E-02
  0.0000000000000000E+00  0.1428571429000000E-02  0.2305093409238378E-02  0.5646460103470654E-02
  0.0000000000000000E+00  0.1476190476000000E-02  0.2305093383242260E-02  0.5646460553798363E-02
  0.0000000000000000E+00  0.1523809524000000E-02  0.2305093356393794E-02  0.5646461018890706E-02
  0.0000000000000000E+00  0.1571428571000000E-02  0.2305093328693004E-02  0.5646461498747701E-02
  0.0000000000000000E+00  0.1619047619000000E-02  0.2305093300139885E-02  0.5646461993369324E-02
  0.0000000000000000E+00  0.1666666667000000E-02  0.2305093270734432E-02  0.5646462502755526E-02
  0.0000000000000000E+00  0.1714285714000000E-02  0.2305093240476658E-02  0.5646463026906309E-02
  0.0000000000000000E+00  0.1761904762000000E-02  0.2305093209366532E-02  0.5646463565821653E-02
  0.0000000000000000E+00  0.1809523810000000E-02  0.2305093177404086E-02  0.5646464119501555E-02
  0.0000000000000000E+00  0.1857142857000000E-02  0.2305093144589308E-02  0.5646464687945918E-02
  0.0000000000000000E+00  0.1904761905000000E-02  0.2305093110922191E-02  0.5646465271154831E-02
  0.0000000000000000E+00  0.1952380952000000E-02  0.2305093076402759E-02  0.5646465869128180E-02
  0.0000000000000000E+00  0.2000000000000000E-02  0.2305093041030984E-02  0.5646466481865994E-02
  0.0000000000000000E+00  0.3530163775500000E-01  0.2304859596930099E-02  0.5650503432777061E-02
  0.0000000000000000E+00  0.7338362321000000E-01  0.2304081992430585E-02  0.5663850628259273E-02
  0.0000000000000000E+00  0.1135061888960000E+00  0.2302674061148153E-02  0.5687629301338422E-02
  0.0000000000000000E+00  0.1550141460330000E+00  0.2300583335869288E-02  0.5722031775070154E-02
  0.0000000000000000E+00  0.1975836727160000E+00  0.2297771566895914E-02  0.5766625511848276E-02
  0.0000000000000000E+00  0.2410187483340000E+00  0.2294209120438540E-02  0.5820449256743625E-02
  0.0000000000000000E+00  0.2851870806420000E+00  0.2289872468059782E-02  0.5882083557778780E-02
  0.0000000000000000E+00  0.3299930022210000E+00  0.2284742832821328E-02  0.5949725348593750E-02
  0.0000000000000000E+00  0.3753639244250000E+00  0.2278805374076433E-02  0.6021272731760206E-02
  0.0000000000000000E+00  0.4212427802450000E+00  0.2272048657718486E-02  0.6094418852837646E-02
  0.0000000000000000E+00  0.4675834627770000E+00  0.2264464291184916E-02  0.6166750795370805E-02
  0.0000000000000000E+00  0.5143479030270000E+00  0.2256046659340211E-02  0.6235848233489849E-02
  0.0000000000000000E+00  0.5615041084640000E+00  0.2246792724721791E-02  0.6299376413973320E-02
  0.0000000000000000E+00  0.6090247959310000E+00  0.2236701870005736E-02  0.6355168588220995E-02
  0.0000000000000000E+00  0.6568864087430000E+00  0.2225775768628797E-02  0.6401294060725076E-02
  0.0000000000000000E+00  0.7050683913569999E+00  0.2214018274291017E-02  0.6436109366133471E-02
  0.0000000000000000E+00  0.7535526420790000E+00  0.2201435323052981E-02  0.6458291539962652E-02
  0.0000000000000000E+00  0.8023230921330000E+00  0.2188034843660115E-02  0.6466853834528454E-02
  0.0000000000000000E+00  0.8513653764619999E+00  0.2173826673019571E-02  0.6461145410693400E-02
  0.0000000000000000E+00  0.9006665724530000E+00  0.2158822474644169E-02  0.6440837412437696E-02
  0.0000000000000000E+00  0.9502149898759999E+00  0.2143035658495993E-02  0.6405898360763526E-02
  0.0000000000000000E+00  0.1000000000000000E+01  0.2126481301133651E-02  0.6356561990619103E-02
  0.0000000000000000E+00  0.1466666666667000E+01  0.1942028287224531E-02  0.5360782899985451E-02
  0.0000000000000000E+00  0.1933333333333000E+01  0.1719702848502578E-02  0.3963831302061367E-02
  0.0000000000000000E+00  0.2400000000000000E+01  0.1480919378559311E-02  0.2710323690558332E-02
  0.0000000000000000E+00  0.2866666666667000E+01  0.1244303563019475E-02  0.1776500301550792E-02
  0.0000000000000000E+00  0.3333333333333000E+01  0.1023646862449739E-02  0.1142250110312445E-02
  0.0000000000000000E+00  0.3800000000000000E+01  0.8274030743516026E-03  0.7305307641515456E-03
  0.0000000000000000E+00  0.4266666666667000E+01  0.6593016789770651E-03  0.4683432024999754E-03
  0.0000000000000000E+00  0.4733333333333000E+01  0.5195220746681190E-03  0.3022088553138961E-03
  0.0000000000000000E+00  0.5200000000000000E+01  0.4059675061395907E-03  0.1966848593011209E-03
  0.0000000000000000E+00  0.5666666666667000E+01  0.3153572985320729E-03  0.1292460791672972E-03
  0.0000000000000000E+00  0.6133333333333000E+01  0.2440238860686998E-03  0.8579810702783265E-04
  0.0000000000000000E+00  0.6600000000000000E+01  0.1884153986173357E-03  0.5755048987373744E-04
  0.0000000000000000E+00  0.7066666666667000E+01  0.1453618674256771E-03  0.3900712363845277E-04
  0.0000000000000000E+00  0.7533333333333000E+01  0.1121782484474155E-03  0.2671316832732819E-04
  0.0000000000000000E+00  0.8000000000000000E+01  0.8666906120982846E-04  0.1848143400321267E-04
  0.0000000000000000E+00  0.1000000000000000E+02  0.2944741232801079E-04  0.4266060830689901E-05
  0.0000000000000000E+00  0.1200000000000000E+02  0.1061572401713034E-04  0.1173460667283542E-05
  0.0000000000000000E+00  0.1400000000000000E+02  0.4092514754225505E-05  0.3764683131434044E-06
  0.0000000000000000E+00  0.1600000000000000E+02  0.1687837985897242E-05  0.1369687561514923E-06
  0.0000000000000000E+00  0.1800000000000000E+02  0.7431126428089123E-06  0.5538477637218601E-07
  0.0000000000000000E+00  0.2000000000000000E+02  0.3480425004345239E-06  0.2452206390219033E-07
  0.0000000000000000E+00  0.2200000000000000E+02  0.1725511891592909E-06  0.1170855310957407E-07
  0.0000000000000000E+00  0.2400000000000000E+02  0.9000914095580172E-07  0.5941023770242782E-08
  0.0000000000000000E+00  0.3000000000000000E+02  0.1634197229176586E-07  0.1019216058021732E-08
  0.0000000000000000E+00  0.3600000000000000E+02  0.3941613215205875E-08  0.2404778498417387E-09
  0.0000000000000000E+00  0.4200000000000000E+02  0.1178390346261682E-08  0.7122421874084986E-10
  0.0000000000000000E+00  0.4800000000000000E+02  0.4124598211956685E-09  0.2458253723061055E-10
  0.4761904800000000E-04 -0.4800000000000000E+02  0.4124598211940675E-09  0.2458253723051368E-10
  0.4761904800000000E-04 -0.4200000000000000E+02  0.1178390346255748E-08  0.7122421874048750E-10
  0.4761904800000000E-04 -0.3600000000000000E+02  0.3941613215178900E-08  0.2404778498400801E-09
  0.4761904800000000E-04 -0.3000000000000000E+02  0.1634197229160646E-07  0.1019216058011544E-08
  0.4761904800000000E-04 -0.2400000000000000E+02  0.9000914095446991E-07  0.5941023770151436E-08
  0.4761904800000000E-04 -0.2200000000000000E+02  0.1725511891562949E-06  0.1170855310936136E-07
  0.4761904800000000E-04 -0.2000000000000000E+02  0.3480425004273478E-06  0.2452206390165356E-07
